Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Loy Vaught,PF,24,LAC,79,4,1653,6.8,13.4,.508,0.0,0.1,.250,6.8,13.3,.510,2.5,3.4,.748,3.6,7.1,10.7,1.2,1.2,0.8,1.8,3.7,16.2
Gundars Vetra,SF,25,MIN,13,0,89,7.7,16.2,.475,1.2,1.2,1.000,6.5,15.0,.432,1.6,2.4,.667,1.6,1.6,3.2,2.4,0.8,0.0,0.8,4.9,18.2
Darrell Walker,PG-SG,31,TOT,37,2,511,2.4,6.8,.354,0.0,0.1,.000,2.4,6.7,.358,0.8,1.8,.462,1.5,2.5,4.1,3.7,2.3,0.1,1.8,4.4,5.6
Darrell Walker,SG,31,DET,9,2,144,0.7,4.7,.158,0.0,0.2,.000,0.7,4.5,.167,0.5,1.5,.333,1.0,3.7,4.7,2.3,2.5,0.0,3.2,3.0,2.0
Darrell Walker,PG,31,CHI,28,0,367,3.0,7.6,.403,0.0,0.0, ,3.0,7.6,.403,1.0,2.0,.500,1.8,2.1,3.8,4.3,2.3,0.2,1.2,5.0,7.1
Duane Washington,SG,28,LAC,4,0,28,0.0,6.4,.000,0.0,0.0, ,0.0,6.4,.000,0.0,0.0, ,0.0,2.6,2.6,6.4,1.3,0.0,2.6,2.6,0.0
Clarence Weatherspoon,SF,22,PHI,82,82,2654,6.7,14.3,.469,0.0,0.1,.250,6.7,14.2,.470,3.9,5.5,.713,2.4,5.6,8.0,2.0,1.2,0.9,2.4,2.6,17.4
Marcus Webb,PF,22,BOS,9,0,51,9.2,17.6,.520,0.0,0.7,.000,9.2,16.9,.542,9.2,14.8,.619,3.5,3.5,7.1,1.4,0.7,1.4,3.5,7.8,27.5
Spud Webb,PG,29,SAC,69,68,2335,5.3,12.2,.433,0.6,2.1,.274,4.7,10.1,.466,4.3,5.1,.851,0.7,2.3,3.0,7.4,1.6,0.1,3.0,2.7,15.4
Robert Werdann,C,22,DEN,28,0,149,4.3,14.3,.305,0.0,0.2,.000,4.3,14.0,.310,4.1,7.5,.548,5.6,7.0,12.6,1.7,1.4,1.0,2.9,9.2,12.8
Doug West,SG,25,MIN,80,80,3104,7.5,14.5,.517,0.0,0.3,.087,7.5,14.2,.525,2.9,3.4,.841,1.0,1.8,2.9,2.7,1.0,0.2,1.9,3.2,17.9
Mark West,C,32,PHO,82,82,1558,4.0,6.6,.614,0.0,0.0, ,4.0,6.6,.614,2.0,3.8,.518,3.5,7.0,10.6,0.7,0.4,2.4,2.1,5.6,10.1
Randy White,PF,25,DAL,64,20,1433,5.9,13.6,.435,0.3,1.1,.238,5.7,12.5,.452,3.5,4.6,.750,3.9,5.4,9.3,1.2,1.6,1.1,2.7,5.7,15.5
Morlon Wiley,PG,26,TOT,58,15,995,3.5,9.2,.378,2.0,5.6,.351,1.5,3.6,.420,0.6,0.9,.654,1.0,2.2,3.3,6.5,2.4,0.1,2.9,4.6,9.5
Morlon Wiley,PG,26,ATL,25,2,354,2.6,8.2,.321,1.5,5.2,.294,1.1,3.1,.367,0.5,0.8,.625,0.9,2.6,3.6,8.2,2.6,0.2,2.9,5.0,7.3
Morlon Wiley,PG,26,DAL,33,13,641,3.9,9.7,.405,2.2,5.8,.379,1.7,3.9,.443,0.7,1.0,.667,1.1,2.0,3.1,5.6,2.2,0.1,2.9,4.4,10.7
Dominique Wilkins*,SF,33,ATL,71,70,2647,10.1,21.5,.468,1.6,4.3,.380,8.4,17.2,.490,7.1,8.5,.828,2.5,4.0,6.6,3.1,1.0,0.4,2.5,1.6,28.8
Eddie Lee Wilkins,PF,30,PHI,26,0,192,10.3,18.2,.567,0.0,0.4,.000,10.3,17.8,.579,9.0,14.6,.615,2.6,4.9,7.5,0.4,1.3,0.2,3.2,6.4,29.6
Gerald Wilkins,SF,29,CLE,80,35,2079,6.3,13.8,.453,0.3,1.0,.276,6.0,12.8,.467,2.6,3.1,.840,1.3,2.4,3.7,3.2,1.4,0.3,1.6,2.7,15.4
Buck Williams,PF,32,POR,82,82,2498,3.9,7.6,.511,0.0,0.0,.000,3.9,7.6,.512,2.0,3.1,.645,3.3,6.6,9.9,1.1,1.2,0.9,1.5,3.9,9.8
Corey Williams,PG,22,CHI,35,0,242,4.6,12.6,.365,0.1,0.4,.333,4.5,12.2,.366,2.7,3.3,.818,2.8,1.8,4.6,3.4,0.6,0.3,1.6,3.6,12.0
Herb Williams,C,34,NYK,55,0,571,4.5,11.0,.411,0.0,0.0, ,4.5,11.0,.411,0.9,1.3,.667,2.8,6.4,9.2,1.2,1.3,1.8,1.4,4.9,10.0
Hot Rod Williams,C,30,CLE,67,13,2055,4.6,9.8,.470,0.0,0.0, ,4.6,9.8,.470,3.7,5.2,.716,2.2,5.0,7.3,2.7,0.8,1.8,2.0,3.0,12.9
Jayson Williams,PF,24,NJN,12,2,139,5.4,11.9,.457,0.0,0.0, ,5.4,11.9,.457,1.8,4.7,.389,5.7,4.9,10.6,0.0,1.0,1.0,2.1,6.2,12.7
John Williams,SF,26,LAC,74,8,1638,4.5,10.5,.430,0.3,1.2,.226,4.2,9.3,.455,1.5,2.8,.543,1.9,5.0,6.9,3.1,1.8,0.5,1.7,4.1,10.8
Kenny Williams,SF,23,IND,57,0,844,6.4,12.0,.532,0.0,0.1,.000,6.4,11.9,.538,2.0,2.9,.706,4.4,5.4,9.7,1.6,0.9,1.9,1.2,3.7,14.8
Lorenzo Williams,PF-C,23,TOT,27,7,179,3.4,7.2,.472,0.0,0.0, ,3.4,7.2,.472,0.4,1.4,.286,3.4,7.6,11.1,1.0,1.0,3.4,1.6,5.8,7.2
Lorenzo Williams,C,23,CHH,2,0,18,2.0,6.0,.333,0.0,0.0, ,2.0,6.0,.333,0.0,0.0, ,6.0,12.0,18.0,0.0,0.0,4.0,4.0,8.0,4.0
Lorenzo Williams,PF,23,ORL,3,0,10,0.0,7.2,.000,0.0,0.0, ,0.0,7.2,.000,0.0,0.0, ,3.6,3.6,7.2,0.0,3.6,3.6,0.0,7.2,0.0
Lorenzo Williams,PF,23,BOS,22,7,151,3.8,7.4,.516,0.0,0.0, ,3.8,7.4,.516,0.5,1.7,.286,3.1,7.4,10.5,1.2,1.0,3.3,1.4,5.5,8.1
Micheal Williams,PG,26,MIN,76,76,2661,4.8,10.7,.446,0.4,1.4,.243,4.4,9.3,.478,5.7,6.3,.907,1.1,2.6,3.7,8.9,2.2,0.3,3.1,3.6,15.6
Reggie Williams,SF,28,DEN,79,79,2722,7.1,15.4,.458,0.4,1.6,.270,6.6,13.8,.480,3.1,3.9,.804,1.7,3.9,5.7,3.9,1.7,1.0,2.6,3.8,17.7
Scott Williams,PF,24,CHI,71,5,1369,4.4,9.4,.466,0.0,0.2,.000,4.4,9.2,.476,2.4,3.3,.714,4.4,7.4,11.9,1.8,1.4,1.7,1.9,6.0,11.1
Walt Williams,SF,22,SAC,59,26,1673,7.7,17.7,.435,1.3,4.1,.319,6.4,13.6,.470,4.8,6.5,.742,2.5,3.2,5.7,3.8,1.4,0.6,3.9,4.5,21.5
Kevin Willis,PF,30,ATL,80,80,2878,7.7,15.2,.506,0.1,0.4,.241,7.6,14.9,.512,2.5,3.8,.653,4.2,8.7,12.9,2.1,0.9,0.5,2.7,3.3,17.9
Kennard Winchester,SG,26,HOU,39,0,340,6.5,14.7,.439,0.4,2.0,.211,6.0,12.7,.475,1.8,2.3,.773,1.8,3.4,5.2,1.4,1.1,1.1,1.6,4.2,15.1
David Wingate,SF,29,CHH,72,55,1471,4.4,8.2,.536,0.0,0.1,.167,4.4,8.1,.542,1.9,2.6,.738,1.2,3.1,4.3,4.5,1.6,0.2,2.2,3.3,10.8
Joe Wolf,C,28,TOT,23,0,165,4.4,9.6,.455,0.0,0.2,.000,4.4,9.4,.465,2.8,3.5,.813,3.1,7.4,10.5,1.1,1.5,0.2,1.5,5.2,11.6
Joe Wolf,C,28,BOS,2,0,9,0.0,4.0,.000,0.0,0.0, ,0.0,4.0,.000,4.0,8.0,.500,4.0,8.0,12.0,0.0,0.0,4.0,8.0,8.0,4.0
Joe Wolf,C,28,POR,21,0,156,4.6,9.9,.465,0.0,0.2,.000,4.6,9.7,.476,2.8,3.2,.857,3.0,7.4,10.4,1.2,1.6,0.0,1.2,5.1,12.0
David Wood,PF,28,SAS,64,2,598,3.1,7.0,.444,0.3,1.3,.238,2.8,5.8,.490,2.8,3.3,.836,2.3,3.6,5.8,2.0,0.8,0.7,1.7,5.6,9.3
Randy Woods,PG,22,LAC,41,1,174,4.8,13.7,.348,0.6,2.9,.214,4.1,10.8,.385,3.9,5.4,.731,1.2,1.7,2.9,8.3,2.9,0.2,3.3,5.4,14.1
Orlando Woolridge,SF,33,TOT,58,47,1555,6.7,13.9,.482,0.0,0.2,.000,6.7,13.7,.490,2.8,4.1,.678,2.0,2.3,4.3,2.7,0.6,0.6,1.8,2.8,16.2
Orlando Woolridge,SF,33,DET,50,47,1477,6.6,13.8,.479,0.0,0.2,.000,6.6,13.6,.487,2.8,4.1,.673,2.0,2.2,4.3,2.7,0.6,0.6,1.8,2.8,16.0
Orlando Woolridge,SF,33,MIL,8,0,78,8.3,15.2,.545,0.0,0.0, ,8.3,15.2,.545,3.2,4.2,.778,1.4,2.8,4.2,1.4,0.5,0.9,2.8,3.7,19.8
James Worthy*,SF,31,LAL,82,69,2359,7.8,17.4,.447,0.5,1.7,.270,7.3,15.7,.466,2.6,3.2,.810,1.1,2.7,3.8,4.2,1.4,0.4,2.1,1.3,18.6
Howard Wright,PF,25,ORL,4,0,10,14.4,18.0,.800,0.0,0.0, ,14.4,18.0,.800,0.0,7.2,.000,3.6,3.6,7.2,0.0,0.0,0.0,0.0,0.0,28.8
Danny Young,PG,30,DET,65,2,836,3.0,7.2,.413,0.9,2.9,.324,2.0,4.3,.475,1.2,1.4,.875,0.6,1.5,2.0,5.1,1.3,0.2,1.3,1.6,8.1
